ANO,MES,SP,PR,SC,RS
2004,1,2074541,389147,286689,456670
2004,2,1980655,390487,275576,455907
2004,3,2058328,375716,278745,453567
2004,4,2169643,388595,272840,470612
2004,5,2041062,376170,259749,446184
2004,6,2039384,380972,249891,425987
2004,7,2066713,374402,252993,439310
2004,8,2074705,379364,258288,432540
2004,9,2122527,393932,268234,438391
2004,10,2117323,383665,259658,426156
2004,11,2107765,384057,257363,430070
2004,12,2040860,382298,265284,452985
2005,1,2186012,405965,297357,491393
2005,2,2070147,397542,290636,473486
2005,3,2132612,389053,281171,484840
2005,4,2229432,413205,303494,463334
2005,5,2116809,393393,270308,435400
2005,6,2177682,405041,272441,451355
2005,7,2162541,388345,270952,453690
2005,8,2173291,395000,275467,459287
2005,9,2224133,404879,278749,446454
2005,10,2247607,397468,274962,440334
2005,11,2192297,404452,271636,440657
2005,12,2210951,399857,285901,471087
2006,1,2255056,427357,296372,494016
2006,2,2230458,416162,326710,494908
2006,3,2308011,402204,320685,483508
2006,4,2320717,412634,302546,469150
2006,5,2276049,395563,259780,441066
2006,6,2327287,408073,280760,456686
2006,7,2277352,405473,278816,454003
2006,8,2296701,412603,278003,460273
2006,9,2377111,408093,277916,454216
2006,10,2339656,414322,271000,445610
2006,11,2379708,436633,301839,464687
2006,12,2384053,426746,287048,481240
2007,1,2440676,449815,338551,539303
2007,2,2351043,424533,341505,503676
2007,3,2413480,424504,330043,520927
2007,4,2440438,441845,334079,515894
2007,5,2458210,429189,324501,489744
2007,6,2378151,424956,279773,488280
2007,7,2368283,410023,275358,487276
2007,8,2468106,434718,310725,503667
2007,9,2484697,443904,310464,483908
2007,10,2472577,448992,290435,477505
2007,11,2537478,447998,313739,477087
2007,12,2536673,437871,299284,481122
2008,1,2516197,467962,346681,566145
2008,2,2624776,449205,359328,516191
2008,3,2508868,448703,317129,510875
2008,4,2568569,452503,313323,498313
2008,5,2607143,439844,324419,490812
2008,6,2557202,449081,299927,503964
2008,7,2583522,445508,300946,512404
2008,8,2656370,458146,326503,511439
2008,9,2625711,457730,305014,495868
2008,10,2734678,453182,314818,500536
2008,11,2692642,478529,337041,491243
2008,12,2625315,460368,309154,511466
2009,1,2738453,490479,365956,563289
2009,2,2618139,472628,349123,532288
2009,3,2695539,474729,361432,560926
2009,4,2743559,487989,361572,539293
2009,5,2698563,458956,336360,504508
2009,6,2657294,465918,323171,510587
2009,7,2753841,470312,327776,540635
2009,8,2801539,485604,341018,554639
2009,9,2788227,484503,330050,522299
2009,10,2796243,474385,330285,513265
2009,11,2718763,496515,356647,526104
2009,12,2860870,495596,352137,549203
2010,1,2824219,525530,428879,622085
2010,2,2753910,512109,381755,595294
2010,3,2835809,485949,403816,598416
2010,4,2899400,507626,378338,557327
2010,5,2794865,482821,338042,528637
2010,6,2795205,498288,347435,542360
2010,7,2721713,489328,337411,567792
2010,8,2959164,508855,361457,585133
2010,9,2936292,507234,356580,538827
2010,10,2889998,493232,334063,529872
2010,11,2870500,497286,342008,521422
2010,12,2933031,510336,339542,566038
2011,1,3044638,535967,425669,640986
2011,2,2950718,535418,429122,634407
2011,3,2989099,506054,395932,588647
2011,4,2922397,515340,371176,546813
2011,5,2909346,553149,338488,534796
2011,6,2924865,504018,351583,547701
2011,7,3002206,530637,373558,612800
2011,8,3006602,528081,362491,603768
2011,9,3137864,550941,373227,569968
2011,10,3027007,529826,350805,540276
2011,11,2998118,515999,349541,539343
2011,12,3005043,509502,347590,596539
2012,1,3078192,562499,404819,616773
2012,2,3051458,554311,438657,665130
2012,3,3184244,561604,449694,695510
2012,4,3238470,552383,389428,591753
2012,5,3039117,527610,369577,563952
2012,6,3163701,536947,370275,582848
2012,7,3002898,535013,362886,606047
2012,8,3095647,551550,387526,618126
2012,9,3216773,557082,377698,575919
2012,10,3142063,550100,367539,571519
2012,11,3296854,581875,382233,602336
2012,12,3170896,582991,399076,646466
2013,1,3336894,602354,453990,702161
2013,2,3293154,583072,463550,665088
2013,3,3178704,564706,426300,640371
2013,4,3223864,547066,379495,586910
2013,5,3196726,567334,390520,607578
2013,6,3212287,579981,395388,618701
2013,7,3160677,582113,409052,643636
2013,8,3218118,590624,417887,707102
2013,9,3222768,589935,393688,660445
2013,10,3237625,585115,395539,639359
2013,11,3273022,593244,406505,628337
2013,12,3228839,600348,402727,650726
2014,1,3461696,648093,532241,831825
2014,2,3496627,689088,585559,891398
2014,3,3315447,613111,471378,726416
2014,4,3225417,582010,424997,650553
2014,5,3254318,591769,426249,645011
2014,6,3056443,598192,410601,651273
2014,7,3216509,584472,400940,705415
2014,8,3220868,594355,436448,691800
2014,9,3169411,595984,394855,659554
2014,10,3334939,607660,407340,647746
2014,11,3421444,640161,457291,682977
2014,12,3264325,618363,450376,732913
2015,1,3735760,672364,559076,831556
2015,2,3398284,647604,538572,781701
2015,3,3111987,602062,465140,735225
2015,4,3138293,585576,460566,678193
2015,5,3061472,567663,401882,619191
2015,6,2883429,551876,410860,630974
2015,7,2996482,567188,381554,656946
2015,8,3043716,555405,417276,648568
2015,9,3012224,551258,394049,612225
2015,10,3261673,582854,406685,622335
2015,11,3179977,579610,413598,619684
2015,12,3182336,573158,412527,617656
2016,1,3307601,620952,532258,798408
2016,2,3244949,608181,520637,759636
2016,3,3198702,572013,479474,731266
2016,4,3442383,620081,509765,687554
2016,5,3109396,584072,447236,675276
2016,6,3044937,566577,424848,691962
2016,7,3071357,569643,439205,695974
2016,8,3011324,559566,417370,661583
2016,9,3153986,561415,431154,633688
2016,10,3110775,576492,407764,611864
2016,11,3171590,588594,421199,618041
2016,12,3224289,575633,407214,707473
2017,1,3418496,645795,547803,812573
2017,2,3191539,616203,575332,756618
2017,3,3443812,667194,588044,830359
2017,4,3238209,604153,449739,676044
2017,5,3212906,570209,401473,628284
2017,6,3122230,589576,435903,659377
2017,7,3150624,594128,427184,658138
2017,8,3010047,587036,432256,646779
2017,9,3316934,606383,442414,669637
2017,10,3262909,614468,417171,647111
2017,11,3277767,604252,447371,642354
2017,12,3323375,619433,440066,696089
2018,1,3366667,642923,536782,811654
2018,2,3339408,630157,550061,766140
2018,3,3457753,630608,520718,766321
2018,4,3489463,651322,486696,698565
2018,5,3312547,626242,478692,721214
2018,6,3257080,606789,461875,713184
2018,7,3191665,606454,447856,714291
2018,8,3069413,596523,435162,716373
2018,9,3350093,589367,457024,704878
2018,10,3253356,613385,447146,669235
2018,11,3411417,623501,451697,695901
2018,12,3425289,643099,470699,721389
2019,1,3744559,717440,667996,917352
