ANO,SP,PR,SC,RS
2004,39825226,10135388,5774178,10726063
2005,40442795,10261856,5866568,10845087
2006,41055734,10387378,5958266,10963219
2007,39827690,10284503,5866487,10582887
2008,41011635,10590169,6052587,10855214
2009,41384039,10686247,6118743,10914128
2010,41252160,10439601,6249682,10695532
2011,41587182,10512349,6317054,10733030
2012,41901219,10577755,6383286,10770603
2013,43663669,10997465,6634254,11164043
2014,44035304,11081692,6727148,11207274
2015,44396484,11163018,6819190,11247972
2016,44749699,11242720,6910553,11286500
2017,45094866,11320892,7001161,11322895
2018,45538936,11348937,7075494,11329605
