ANO,MES,TEMP SP,TEMP PR,TEMP SC,TEMP RS
2004,1,21,19,24,24
2004,2,21,20,24,23
2004,3,21,19,23,22
2004,4,21,19,23,22
2004,5,17,13,17,15
2004,6,16,14,17,15
2004,7,16,13,16,13
2004,8,17,14,17,15
2004,9,21,17,19,18
2004,10,19,16,19,18
2004,11,20,18,21,21
2004,12,21,19,23,23
2005,1,22,20,25,25
2005,2,22,20,24,24
2005,3,22,20,24,23
2005,4,22,19,23,20
2005,5,19,17,20,18
2005,6,18,16,20,18
2005,7,17,13,16,14
2005,8,19,16,18,16
2005,9,18,14,17,15
2005,10,21,17,20,19
2005,11,20,18,22,22
2005,12,21,19,23,22
2006,1,23,22,25,25
2006,2,23,21,25,24
2006,3,22,21,25,23
2006,4,20,17,21,20
2006,5,17,14,17,15
2006,6,17,14,18,15
2006,7,18,15,18,17
2006,8,18,15,17,15
2006,9,18,15,17,16
2006,10,20,17,20,20
2006,11,20,18,21,20
2006,12,22,21,25,25
2007,1,22,21,25,25
2007,2,23,21,25,24
2007,3,24,22,25,24
2007,4,21,19,23,22
2007,5,17,14,17,15
2007,6,18,15,17,14
2007,7,16,13,14,12
2007,8,18,15,16,14
2007,9,20,17,19,19
2007,10,21,18,21,20
2007,11,20,18,21,20
2007,12,22,20,24,24
2008,1,21,19,24,24
2008,2,22,20,24,23
2008,3,22,19,24,23
2008,4,21,17,21,19
2008,5,17,15,18,16
2008,6,17,13,16,13
2008,7,17,15,18,16
2008,8,18,15,18,15
2008,9,17,14,17,15
2008,10,20,17,20,19
2008,11,20,18,21,21
2008,12,21,19,23,23
2009,1,22,20,24,23
2009,2,23,21,25,24
2009,3,23,21,25,23
2009,4,20,18,22,20
2009,5,19,16,19,17
2009,6,15,12,16,13
2009,7,17,12,15,11
2009,8,18,15,17,16
2009,9,19,16,18,17
2009,10,19,17,19,18
2009,11,24,22,24,23
2009,12,22,21,25,23
2010,1,23,21,25,25
2010,2,24,22,26,26
2010,3,23,20,24,23
2010,4,20,17,21,20
2010,5,18,15,19,17
2010,6,16,13,17,15
2010,7,18,14,17,14
2010,8,17,13,16,14
2010,9,19,16,18,17
2010,10,18,16,19,18
2010,11,21,18,21,21
2010,12,22,19,23,23
2011,1,23,22,25,26
2011,2,24,21,25,25
2011,3,21,18,23,22
2011,4,21,18,22,20
2011,5,17,14,19,16
2011,6,15,12,16,13
2011,7,17,14,15,13
2011,8,18,14,16,14
2011,9,18,14,17,16
2011,10,20,17,20,19
2011,11,20,17,21,21
2011,12,22,19,23,22
2012,1,21,20,24,24
2012,2,24,22,26,26
2012,3,22,20,24,23
2012,4,21,18,22,19
2012,5,18,15,19,18
2012,6,17,13,17,14
2012,7,17,13,16,13
2012,8,18,15,18,19
2012,9,20,16,19,18
2012,10,22,19,21,21
2012,11,20,19,23,23
2012,12,24,22,25,25
2013,1,21,19,24,24
2013,2,23,21,25,24
2013,3,21,19,23,21
2013,4,23,17,21,20
2013,5,24,16,19,16
2013,6,18,14,17,14
2013,7,16,12,15,13
2013,8,17,14,16,13
2013,9,19,15,18,17
2013,10,19,17,20,19
2013,11,21,18,22,22
2013,12,23,21,24,24
2014,1,24,22,26,26
2014,2,25,22,26,26
2014,3,23,20,24,23
2014,4,21,18,22,21
2014,5,18,15,19,16
2014,6,18,15,17,15
2014,7,17,13,17,15
2014,8,18,15,17,15
2014,9,20,17,19,18
2014,10,21,19,22,21
2014,11,21,19,23,22
2014,12,23,21,24,24
2015,1,25,22,26,25
2015,2,23,21,25,24
2015,3,22,20,24,23
2015,4,20,18,22,21
2015,5,18,15,20,18
2015,6,18,14,18,15
2015,7,17,14,18,15
2015,8,19,17,20,20
2015,9,21,18,19,17
2015,10,21,18,20,18
2015,11,22,19,22,20
2015,12,23,21,24,23
2016,1,22,21,25,25
2016,2,24,22,26,25
2016,3,23,20,24,22
2016,4,23,21,24,22
2016,5,18,15,18,15
2016,6,15,11,14,11
2016,7,17,14,16,14
2016,8,18,14,17,16
2016,9,18,15,18,16
2016,10,20,17,20,19
2016,11,20,18,22,21
2016,12,23,21,24,24
2017,1,23,22,26,25
2017,2,24,22,27,26
2017,3,22,20,24,23
2017,4,20,17,21,20
2017,5,18,16,20,18
2017,6,17,14,18,15
2017,7,16,13,18,16
2017,8,17,15,18,17
2017,9,21,19,21,20
2017,10,21,18,21,20
2017,11,21,18,22,20
2017,12,22,20,24,24
2018,1,23,20,25,24
2018,2,22,20,24,23
2018,3,23,21,24,23
2018,4,21,19,24,23
2018,5,19,16,20,17
2018,6,18,14,17,13
2018,7,18,13,17,14
2018,8,17,14,16,14
2018,9,19,16,20,19
2018,10,19,18,21,20
2018,11,21,19,23,22
2018,12,23,22,24,24
2019,1,25,24,27,26
2019,2,23,21,25,24
2019,3,22,20,25,23
2019,4,22,19,23,21
2019,5,20,17,21,19
2019,6,19,16,20,18
2019,7,17,14,17,13
2019,8,17,14,17,15
2019,9,20,16,18,17
2019,10,22,19,22,20
2019,11,21,19,23,22
2019,12,22,20,24,25
2020,1,23,24,25,25
2020,2,22,20,24,24
